Rank,Class Rk,Year,Player Name,Tier,RB Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Class,Draft Age,Build,Type,Height,Weight,BMI,40 Time,Draft Cap,RDOM1,RDOM2,RDOM3,RDOM4,RDOM5,TDOM,RDOM+,DOM1,DOM2,ADOM,DOM+,BOUT,Speed,BMI,MTF/A,YPC,YPR,RPT,ELU,YCO/A,Break %
288,25,2026,Jam Miller,Purgatory,3.57,11.90,-1.87,Alabama,1,4/29/04,21.43,SR,22.01,FREAK,+RECEIVER,70,220,31.57,4.50,0,0.00%,3.58%,4.98%,15.61%,0.00%,15.61%,15.61%,5.06%,0.00%,5.06%,5.06%,20.36,107.30,31.56,0.27,4.63,#DIV/0!,0.00,43.40,2.71,27.50
289,20,2015,Malcolm Brown,Purgatory,3.41,11.60,-1.94,Texas,3,5/15/93,32.39,SR,21.96,BELL COW,#DIV/0!,71,224,31.24,4.62,0,0.00%,19.34%,12.54%,20.69%,17.51%,19.10%,17.19%,7.64%,2.23%,4.94%,4.44%,18.31,98.34,31.24,0.11,4.22,#DIV/0!,#DIV/0!,24.80,2.36,24.10
290,29,2022,Sincere McCormick,Purgatory,3.41,11.30,-1.95,UTSA,10,9/10/00,25.06,JR,21.64,DYNAMIC,#DIV/0!,69,189,27.91,4.59,0,0.00%,0.00%,28.34%,31.84%,27.04%,29.44%,17.67%,5.21%,5.12%,5.16%,3.10%,18.98,85.16,27.91,0.25,5.80,#DIV/0!,#DIV/0!,87.70,3.80,49.20
291,25,2016,Jhurell Pressley,Purgatory,3.35,11.00,-1.97,New Mexico,7,5/20/92,33.38,SR,23.95,JITTERBUG,#DIV/0!,71,198,27.62,4.4,0,0.00%,11.39%,7.34%,24.04%,17.62%,20.83%,13.54%,6.04%,0.11%,3.08%,2.00%,22.30,105.65,27.61,0.21,9.70,#DIV/0!,#DIV/0!,76.60,3.96,71.00
292,26,2026,Kedrick Reescano,Purgatory,3.33,10.30,-1.98,Arizona,3,6/1/05,20.34,JR,20.92,DYNAMIC,SLASHER,72,213,28.89,4.50,0,0.00%,0.00%,0.00%,9.47%,0.00%,9.47%,8.53%,1.58%,0.00%,1.58%,1.42%,N/A,103.89,28.88,0.36,4.62,#DIV/0!,0.00,133.50,3.55,37.60
292,30,2022,Snoop Conner,Purgatory,3.33,10.30,-1.98,Ole Miss,1,8/1/00,25.17,JR,21.75,BELL CALF,#DIV/0!,70,222,31.85,4.59,5,0.00%,0.00%,10.71%,9.07%,11.31%,11.31%,11.31%,2.49%,2.29%,2.39%,2.39%,N/A,100.03,31.85,0.19,4.90,#DIV/0!,#DIV/0!,46.80,2.59,50.20
294,22,2018,Chase Edmonds,Purgatory,3.29,10.00,-1.99,Fordham,11,4/13/96,29.48,SR,22.05,BELL CALF,#DIV/0!,69,205,30.27,4.55,4,0.00%,28.32%,37.34%,35.58%,15.62%,26.48%,14.56%,9.21%,4.91%,7.06%,3.88%,18.39,95.66,30.27,0.16,0.00,#DIV/0!,#DIV/0!,0.00,0.00,0.00
295,31,2022,Abram Smith,Purgatory,3.29,9.70,-1.99,Baylor,3,9/14/98,27.05,SR,23.64,BELL COW,#DIV/0!,72,213,28.89,4.59,0,0.00%,0.23%,0.59%,0.00%,28.28%,28.28%,25.45%,0.00%,2.60%,2.60%,2.34%,22.99,95.98,28.88,0.18,6.20,#DIV/0!,#DIV/0!,71.10,3.92,42.90
296,26,2016,Tre Madden,Purgatory,3.24,9.40,-2.02,USC,5,8/16/93,32.14,SR,22.71,BELL COW,#DIV/0!,72,223,30.24,4.53,0,0.00%,0.00%,20.59%,0.00%,13.34%,16.96%,14.42%,0.00%,4.93%,4.93%,4.19%,20.06,105.91,30.24,0.11,5.31,#DIV/0!,#DIV/0!,27.70,2.82,33.50
297,23,2018,David Williams,Purgatory,3.22,9.10,-2.03,Arkansas,1,6/17/94,31.30,SR,23.87,FREAK,#DIV/0!,71,229,31.94,4.5,7,0.00%,6.19%,9.39%,6.88%,17.74%,17.74%,17.74%,2.60%,6.94%,6.94%,6.94%,23.24,111.69,31.94,0.09,5.30,#DIV/0!,#DIV/0!,39.80,3.16,38.90
298,27,2026,Josh McCray,Purgatory,3.19,8.80,-2.03,Georgia,1,2/24/02,23.61,RS SR,24.19,FREAK,+RECEIVER,73,235,31.00,4.50,0,16.31%,4.96%,9.51%,15.26%,0.00%,15.79%,15.79%,4.22%,0.00%,4.22%,4.22%,19.53,114.62,31.00,0.16,5.20,#DIV/0!,0.00,50.00,3.25,35.50
299,27,2016,Darius Jackson,Purgatory,3.18,8.50,-2.04,Eastern Michigan,9,12/1/93,31.84,SR,22.42,FREAK,#DIV/0!,72,220,29.84,4.35,6,0.00%,0.30%,9.65%,12.66%,28.24%,28.24%,18.36%,7.91%,7.64%,7.77%,5.05%,21.76,122.88,29.83,0.13,5.24,#DIV/0!,#DIV/0!,42.10,2.41,46.30
300,23,2023,Tiyon Evans,Purgatory,3.17,8.20,-2.05,Louisville,4,6/1/01,24.34,JR,21.92,BRUISER,#DIV/0!,69,225,33.23,4.52,0,0.00%,0.00%,0.00%,9.90%,10.05%,10.05%,9.04%,2.30%,0.49%,1.40%,1.26%,N/A,107.81,33.22,0.27,6.60,#DIV/0!,#DIV/0!,89.40,3.07,47.10
301,21,2021,Gerrid Doaks,Purgatory,3.15,7.90,-2.05,Cincinnati,6,6/9/98,27.32,SR,22.90,BRUISER,#DIV/0!,71,228,31.80,4.58,7,0.00%,15.35%,0.00%,10.89%,19.40%,19.40%,14.55%,2.74%,8.47%,8.47%,6.35%,19.24,103.63,31.80,0.17,5.30,#DIV/0!,#DIV/0!,44.50,3.57,36.10
302,34,2025,Kay'ron Lynch-Adams,Purgatory,3.12,7.60,-2.07,Michigan State,2,6/4/00,25.33,RS SR,24.91,DYNAMIC,#DIV/0!,68,185,28.13,4.55,0,7.56%,12.70%,4.18%,29.75%,18.34%,24.05%,24.05%,4.59%,3.25%,3.92%,3.92%,23.27,86.33,28.13,0.35,4.91,#DIV/0!,#DIV/0!,109.30,3.40,43.00
303,24,2023,Tavion Thomas,Purgatory,3.09,7.30,-2.08,Utah,5,5/22/00,25.37,RS JR,22.95,BRUISER,#DIV/0!,72,237,32.14,4.74,0,8.88%,3.25%,0.00%,18.38%,11.00%,14.69%,12.49%,0.10%,1.23%,1.23%,1.05%,21.30,93.90,32.14,0.30,5.40,#DIV/0!,#DIV/0!,114.80,3.81,29.70
304,35,2025,Ulysses Bentley IV,Purgatory,3.03,7.00,-2.10,Ole Miss,1,12/30/00,24.76,RS SR,24.34,BELL CALF,#DIV/0!,70,200,28.70,4.62,0,21.98%,13.73%,2.45%,10.44%,7.57%,14.77%,14.77%,2.34%,2.17%,2.26%,2.26%,19.68,87.80,28.69,0.31,5.68,#DIV/0!,#DIV/0!,112.40,3.51,37.50
305,20,2020,Tony Jones Jr.,Purgatory,2.97,6.70,-2.13,Notre Dame,2,11/24/97,27.86,SR,22.43,BELL CALF,#DIV/0!,70,220,31.57,4.68,0,0.00%,0.00%,4.19%,9.60%,17.13%,17.13%,17.13%,4.69%,3.17%,3.93%,3.93%,21.79,91.72,31.56,0.23,5.90,#DIV/0!,#DIV/0!,81.50,3.81,45.70
306,21,2015,Dominique Brown,Purgatory,2.95,6.40,-2.14,Louisville,4,12/27/91,33.78,SR,23.35,BRUISER,#DIV/0!,74,234,30.04,4.63,0,0.00%,15.79%,0.00%,17.58%,12.64%,15.11%,13.60%,11.94%,3.09%,7.51%,6.76%,19.69,101.84,30.04,0.16,5.06,#DIV/0!,#DIV/0!,35.50,2.26,22.40
307,29,2024,Jawhar Jordan,Purgatory,2.84,6.10,-2.19,Louisville,4,8/18/99,26.13,RS SR,24.71,DYNAMIC,#DIV/0!,69,193,28.50,4.56,0,12.16%,13.32%,8.81%,3.39%,25.37%,25.37%,22.83%,3.18%,8.00%,8.00%,7.20%,24.06,89.27,28.50,0.23,6.20,#DIV/0!,#DIV/0!,73.60,3.29,48.20
308,22,2015,Michael Dyer,Purgatory,2.83,5.80,-2.19,Louisville,4,10/13/90,34.98,SR,24.55,BELL CALF,#DIV/0!,68,218,33.15,4.58,0,15.77%,30.81%,0.00%,7.16%,16.69%,23.75%,21.38%,0.36%,1.98%,1.98%,1.79%,19.90,99.09,33.14,0.17,5.07,#DIV/0!,#DIV/0!,38.10,2.25,33.70
309,25,2023,SaRodorick Thompson,Purgatory,2.79,5.10,-2.21,Texas Tech,3,10/1/99,26.01,RS SR,23.59,BELL COW,#DIV/0!,71,207,28.87,4.67,0,1.93%,16.08%,17.11%,11.29%,13.35%,15.23%,13.71%,3.20%,3.03%,3.11%,2.80%,19.93,87.04,28.87,0.30,4.90,#DIV/0!,#DIV/0!,103.90,3.75,48.40
309,24,2018,Darrel Williams,Purgatory,2.79,5.10,-2.21,LSU,1,4/15/95,30.47,SR,23.05,BRUISER,#DIV/0!,70,229,32.86,4.72,0,0.00%,7.33%,6.25%,5.32%,21.54%,21.54%,21.54%,1.62%,12.51%,12.51%,12.51%,22.41,92.28,32.85,0.17,5.70,#DIV/0!,#DIV/0!,54.20,2.97,35.60
311,21,2020,Salvon Ahmed,Purgatory,2.78,4.50,-2.21,Washington,5,12/30/98,26.76,JR,21.33,DYNAMIC,#DIV/0!,70,197,28.27,4.62,0,0.00%,0.00%,8.82%,13.18%,21.71%,21.71%,18.45%,5.09%,3.00%,4.05%,3.44%,20.70,86.48,28.26,0.18,5.70,#DIV/0!,#DIV/0!,66.00,3.47,42.20
311,21,2020,JaMycal Hasty,Purgatory,2.78,4.50,-2.21,Baylor,3,9/12/96,29.06,RS SR,23.63,BELL CALF,#DIV/0!,68,205,31.17,4.55,0,0.00%,9.52%,10.86%,10.24%,13.56%,13.56%,12.20%,4.51%,5.15%,5.15%,4.64%,N/A,95.66,31.17,0.35,5.70,#DIV/0!,#DIV/0!,94.80,3.84,50.20
313,28,2016,Zac Brooks,Purgatory,2.70,4.20,-2.24,Clemson,4,2/1/93,32.67,SR,23.25,BELL COW,#DIV/0!,72,200,27.12,4.54,7,0.00%,3.12%,7.19%,0.00%,4.94%,6.07%,5.46%,0.00%,2.77%,2.77%,2.49%,N/A,94.15,27.12,0.12,5.93,#DIV/0!,#DIV/0!,36.60,3.05,50.60
314,27,2017,De'Veon Smith,Purgatory,2.67,3.90,-2.26,Michigan,2,11/8/94,30.91,SR,22.48,BELL COW,#DIV/0!,71,223,31.10,4.85,0,0.00%,2.41%,13.64%,17.76%,16.51%,17.13%,17.13%,5.15%,2.39%,3.77%,3.77%,20.82,80.61,31.10,0.24,4.80,#DIV/0!,#DIV/0!,74.90,3.03,34.90
315,23,2015,Trey Williams,Purgatory,2.64,3.60,-2.27,Texas A&M,1,12/11/92,32.82,JR,22.39,JITTERBUG,#DIV/0!,67,195,30.54,4.49,0,0.00%,0.00%,7.53%,7.78%,11.84%,11.84%,11.84%,1.39%,2.86%,2.86%,2.86%,N/A,95.96,30.54,0.22,7.02,#DIV/0!,#DIV/0!,57.10,2.31,47.20
316,24,2019,L.J. Scott,Purgatory,2.59,3.30,-2.29,Michigan State,2,9/15/96,29.05,SR,22.62,BRUISER,#DIV/0!,72,233,31.60,4.76,0,0.00%,13.26%,23.82%,20.92%,7.98%,15.90%,15.90%,5.22%,3.36%,4.29%,4.29%,19.98,90.77,31.60,0.18,5.30,#DIV/0!,#DIV/0!,72.90,3.72,38.60
317,32,2022,CJ Verdell,Purgatory,2.57,3.00,-2.30,Oregon,5,8/16/99,26.13,RS JR,22.72,DYNAMIC,#DIV/0!,68,194,29.50,4.65,0,0.00%,0.00%,22.18%,13.32%,8.09%,15.14%,12.87%,4.00%,1.84%,2.92%,2.48%,20.05,82.99,29.49,0.20,5.40,#DIV/0!,#DIV/0!,80.90,4.07,41.20
318,26,2023,Camerun Peoples,Purgatory,2.37,2.70,-2.38,App State,8,9/14/99,26.05,RS SR,23.63,BELL COW,#DIV/0!,73,217,28.63,4.61,0,2.79%,0.38%,21.00%,15.28%,11.53%,16.26%,10.57%,0.54%,1.26%,1.26%,0.82%,20.98,96.09,28.63,0.30,5.90,#DIV/0!,#DIV/0!,131.70,4.46,41.10
319,23,2020,Raymond Calais,Purgatory,2.29,2.40,-2.42,ULL,6,4/2/98,27.51,SR,22.07,JITTERBUG,#DIV/0!,67,188,29.44,4.42,7,0.00%,2.52%,2.11%,13.72%,13.88%,13.88%,10.41%,2.50%,2.47%,2.49%,1.87%,N/A,98.51,29.44,0.19,9.30,#DIV/0!,#DIV/0!,80.90,5.03,62.40
320,33,2022,D'Vonte Price,Purgatory,2.23,2.10,-2.44,FIU,10,6/2/99,26.34,RS SR,22.92,DYNAMIC,#DIV/0!,69,189,27.91,4.59,0,0.00%,0.00%,4.16%,42.38%,17.06%,29.72%,17.83%,2.27%,2.45%,2.45%,1.47%,21.28,85.16,27.91,0.28,6.80,#DIV/0!,#DIV/0!,106.10,4.15,46.30
321,25,2018,Jeff Wilson Jr.,Purgatory,2.13,1.80,-2.49,North Texas,10,11/16/95,29.88,SR,22.46,BELL COW,#DIV/0!,71,210,29.29,4.57,0,0.00%,6.82%,23.64%,26.44%,21.55%,24.00%,14.40%,9.12%,4.04%,6.58%,3.95%,19.80,96.29,29.29,0.20,6.40,#DIV/0!,#DIV/0!,73.00,3.52,51.00
322,27,2023,Deneric Prince,Purgatory,2.10,1.50,-2.50,Tulsa,6,4/11/00,25.48,SR,23.06,FREAK,#DIV/0!,72,216,29.29,4.41,0,0.34%,0.00%,12.83%,10.23%,16.55%,16.55%,12.41%,2.05%,2.56%,2.56%,1.92%,22.41,114.22,29.29,0.24,5.80,#DIV/0!,#DIV/0!,76.80,3.37,55.60
323,22,2021,Caleb Huntley,Purgatory,1.81,1.20,-2.62,Ball State,7,9/15/98,27.05,SR,22.64,BRUISER,#DIV/0!,70,229,32.86,4.77,0,0.00%,25.46%,4.16%,23.20%,12.58%,19.02%,14.26%,0.86%,0.60%,0.73%,0.55%,18.97,88.47,32.85,0.21,5.50,#DIV/0!,#DIV/0!,78.50,3.89,33.50
324,24,2015,Kenny Hilliard,Purgatory,1.69,0.90,-2.67,LSU,1,10/31/91,33.93,SR,23.50,BRUISER,#DIV/0!,72,226,30.65,4.83,7,0.00%,7.56%,10.80%,5.70%,12.39%,12.39%,12.39%,0.00%,2.15%,2.15%,2.15%,N/A,83.05,30.65,0.16,4.94,#DIV/0!,#DIV/0!,41.00,2.57,27.40
325,30,2026,Malik Sherrod,Purgatory,0.56,0.60,-3.15,Boise State,7,6/1/01,24.34,RS SR,24.92,JITTERBUG,+RECEIVER,68,177,26.91,4.40,0,0.83%,8.49%,26.37%,17.17%,0.00%,21.77%,16.33%,3.92%,0.00%,3.92%,2.94%,22.27,94.45,26.91,0.20,3.27,#DIV/0!,0.00,81.20,3.51,43.30
326,26,2018,D'Ernest Johnson,Purgatory,0.22,0.30,-3.29,South Florida,6,2/27/96,29.60,SR,22.18,BELL CALF,#DIV/0!,70,210,30.13,4.8,0,0.00%,7.03%,11.37%,12.69%,15.51%,15.51%,10.86%,9.96%,4.69%,7.32%,5.13%,21.54,79.12,30.13,0.22,5.00,#DIV/0!,#DIV/0!,55.70,2.81,27.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
